phi,r,z
0.563985,4.874892,1.449786
0.564875,4.874574,1.451755
0.565764,4.874255,1.453722
0.566654,4.873936,1.455688
0.567543,4.873617,1.457653
0.568433,4.873298,1.459617
0.569323,4.872979,1.461580
0.570214,4.872660,1.463542
0.571104,4.872340,1.465503
0.571994,4.872021,1.467463
0.572885,4.871701,1.469421
0.573775,4.871382,1.471379
0.574666,4.871062,1.473336
0.575557,4.870742,1.475291
0.576448,4.870422,1.477245
0.577339,4.870102,1.479199
0.578230,4.869782,1.481151
0.579122,4.869461,1.483102
0.580013,4.869141,1.485052
0.580905,4.868821,1.487001
0.581796,4.868500,1.488949
0.582688,4.868180,1.490896
0.583580,4.867859,1.492842
0.584472,4.867538,1.494786
0.585365,4.867217,1.496730
0.586257,4.866896,1.498672
0.587150,4.866575,1.500614
0.588042,4.866254,1.502554
0.588935,4.865933,1.504493
0.589828,4.865612,1.506431
0.590721,4.865291,1.508368
0.591614,4.864969,1.510304
0.592507,4.864648,1.512239
0.593400,4.864326,1.514172
0.594294,4.864005,1.516105
0.595187,4.863683,1.518036
0.596081,4.863361,1.519967
0.596975,4.863040,1.521896
0.597869,4.862718,1.523824
0.598763,4.862396,1.525751
0.599657,4.862074,1.527677
0.600552,4.861752,1.529602
0.601446,4.861430,1.531526
0.602341,4.861108,1.533448
0.603235,4.860786,1.535370
0.604130,4.860464,1.537290
0.605025,4.860142,1.539209
0.605920,4.859819,1.541127
0.606816,4.859497,1.543044
0.607711,4.859175,1.544960
0.608606,4.858852,1.546875
0.609502,4.858530,1.548789
0.610398,4.858208,1.550701
0.611294,4.857885,1.552613
0.612190,4.857563,1.554523
0.613086,4.857240,1.556432
0.613982,4.856917,1.558340
0.614878,4.856595,1.560247
0.615775,4.856272,1.562153
0.616671,4.855950,1.564057
0.617568,4.855627,1.565961
0.618465,4.855304,1.567863
0.619362,4.854982,1.569764
0.620259,4.854659,1.571664
0.621156,4.854336,1.573563
0.622054,4.854013,1.575461
0.622951,4.853691,1.577357
0.623849,4.853368,1.579253
0.624747,4.853045,1.581147
0.625644,4.852722,1.583040
0.626542,4.852400,1.584932
0.627441,4.852077,1.586823
0.628339,4.851754,1.588713
0.629237,4.851431,1.590602
0.630136,4.851108,1.592489
0.631034,4.850786,1.594375
0.631933,4.850463,1.596260
0.632832,4.850140,1.598144
0.633731,4.849817,1.600027
0.634630,4.849494,1.601909
0.635529,4.849172,1.603789
0.636429,4.848849,1.605669
0.637328,4.848526,1.607547
0.638228,4.848203,1.609424
0.639128,4.847881,1.611300
0.640028,4.847558,1.613174
0.640928,4.847235,1.615048
0.641828,4.846913,1.616920
0.642728,4.846590,1.618792
0.643628,4.846268,1.620662
0.644529,4.845945,1.622530
0.645430,4.845623,1.624398
0.646330,4.845300,1.626265
0.647231,4.844978,1.628130
0.648132,4.844655,1.629994
0.649034,4.844333,1.631857
0.649935,4.844010,1.633719
0.650836,4.843688,1.635579
0.651738,4.843366,1.637439
0.652640,4.843044,1.639297
0.653541,4.842721,1.641154
0.654443,4.842399,1.643010
0.655345,4.842077,1.644865
0.656248,4.841755,1.646718
0.657150,4.841433,1.648570
0.658052,4.841111,1.650422
0.658955,4.840789,1.652272
0.659858,4.840467,1.654120
0.660760,4.840146,1.655968
0.661663,4.839824,1.657814
0.662567,4.839502,1.659659
0.663470,4.839181,1.661503
0.664373,4.838859,1.663346
0.665277,4.838538,1.665188
0.666180,4.838216,1.667028
0.667084,4.837895,1.668867
0.667988,4.837574,1.670705
0.668892,4.837252,1.672542
0.669796,4.836931,1.674378
0.670700,4.836610,1.676212
0.671604,4.836289,1.678045
0.672509,4.835968,1.679877
0.673414,4.835648,1.681708
0.674318,4.835327,1.683537
0.675223,4.835006,1.685366
0.676128,4.834686,1.687193
0.677033,4.834365,1.689019
0.677939,4.834045,1.690843
0.678844,4.833724,1.692667
0.679750,4.833404,1.694489
0.680655,4.833084,1.696310
0.681561,4.832764,1.698130
0.682467,4.832444,1.699949
0.683373,4.832125,1.701766
0.684279,4.831805,1.703582
0.685185,4.831485,1.705397
0.686092,4.831166,1.707211
0.686998,4.830846,1.709023
0.687905,4.830527,1.710834
0.688812,4.830208,1.712644
0.689719,4.829889,1.714453
0.690626,4.829570,1.716261
0.691533,4.829251,1.718067
0.692440,4.828932,1.719872
0.693348,4.828614,1.721676
0.694255,4.828295,1.723479
0.695163,4.827977,1.725280
0.696071,4.827659,1.727080
0.696979,4.827341,1.728879
0.697887,4.827023,1.730677
0.698795,4.826705,1.732473
0.699704,4.826387,1.734269
0.700612,4.826069,1.736063
0.701521,4.825752,1.737855
0.702429,4.825435,1.739647
0.703338,4.825117,1.741437
0.704247,4.824800,1.743226
0.705156,4.824484,1.745014
0.706066,4.824167,1.746800
0.706975,4.823850,1.748586
0.707884,4.823534,1.750370
0.708794,4.823217,1.752152
0.709704,4.822901,1.753934
0.710614,4.822585,1.755714
0.711524,4.822269,1.757493
0.712434,4.821954,1.759271
0.713344,4.821638,1.761047
0.714254,4.821323,1.762823
0.715165,4.821007,1.764596
0.716076,4.820692,1.766369
0.716986,4.820377,1.768141
0.717897,4.820063,1.769911
0.718808,4.819748,1.771680
0.719720,4.819434,1.773447
0.720631,4.819119,1.775214
0.721542,4.818805,1.776979
0.722454,4.818491,1.778743
0.723365,4.818178,1.780505
0.724277,4.817864,1.782267
0.725189,4.817551,1.784027
0.726101,4.817237,1.785785
0.727013,4.816924,1.787543
0.727926,4.816612,1.789299
0.728838,4.816299,1.791054
0.729751,4.815986,1.792808
0.730663,4.815674,1.794560
0.731576,4.815362,1.796311
0.732489,4.815050,1.798061
0.733402,4.814738,1.799810
0.734316,4.814427,1.801557
0.735229,4.814116,1.803303
0.736142,4.813805,1.805048
0.737056,4.813494,1.806791
0.737970,4.813183,1.808533
0.738883,4.812872,1.810274
0.739797,4.812562,1.812014
0.740712,4.812252,1.813752
0.741626,4.811942,1.815489
0.742540,4.811632,1.817225
0.743455,4.811323,1.818959
0.744369,4.811014,1.820692
0.745284,4.810705,1.822424
0.746199,4.810396,1.824155
0.747114,4.810087,1.825884
0.748029,4.809779,1.827612
0.748944,4.809471,1.829338
0.749860,4.809163,1.831064
0.750775,4.808855,1.832788
0.751691,4.808548,1.834510
0.752606,4.808240,1.836232
0.753522,4.807933,1.837952
0.754438,4.807627,1.839671
0.755354,4.807320,1.841388
0.756271,4.807014,1.843105
0.757187,4.806708,1.844820
0.758104,4.806402,1.846533
0.759020,4.806096,1.848245
0.759937,4.805791,1.849956
0.760854,4.805486,1.851666
0.761771,4.805181,1.853375
0.762688,4.804877,1.855082
0.763605,4.804572,1.856787
0.764523,4.804268,1.858492
0.765440,4.803964,1.860195
0.766358,4.803661,1.861897
0.767276,4.803357,1.863597
0.768194,4.803054,1.865296
0.769112,4.802751,1.866994
0.770030,4.802449,1.868691
0.770948,4.802147,1.870386
0.771866,4.801845,1.872080
0.772785,4.801543,1.873772
0.773704,4.801241,1.875464
0.774622,4.800940,1.877154
0.775541,4.800639,1.878842
0.776460,4.800339,1.880529
0.777379,4.800038,1.882215
0.778299,4.799738,1.883900
0.779218,4.799438,1.885583
0.780138,4.799139,1.887265
0.781057,4.798840,1.888946
0.781977,4.798541,1.890625
0.782897,4.798242,1.892303
0.783817,4.797944,1.893980
0.784737,4.797645,1.895655
0.785658,4.797348,1.897329
0.786578,4.797050,1.899001
0.787498,4.796753,1.900673
0.788419,4.796456,1.902342
0.789340,4.796159,1.904011
0.790261,4.795863,1.905678
0.791182,4.795567,1.907344
0.792103,4.795271,1.909009
0.793024,4.794976,1.910672
0.793946,4.794681,1.912334
0.794867,4.794386,1.913994
0.795789,4.794091,1.915653
0.796711,4.793797,1.917311
0.797633,4.793503,1.918968
0.798555,4.793210,1.920623
0.799477,4.792917,1.922277
0.800399,4.792624,1.923929
0.801321,4.792331,1.925580
0.802244,4.792039,1.927230
0.803167,4.791747,1.928878
0.804089,4.791455,1.930525
0.805012,4.791164,1.932171
0.805935,4.790873,1.933815
0.806858,4.790583,1.935458
0.807782,4.790292,1.937100
0.808705,4.790002,1.938740
0.809629,4.789713,1.940379
0.810552,4.789424,1.942016
0.811476,4.789135,1.943652
0.812400,4.788846,1.945287
0.813324,4.788558,1.946921
