phi,r,z
1.044213,2.530669,1.059044
1.046690,2.530164,1.060565
1.049168,2.529660,1.062081
1.051648,2.529157,1.063592
1.054128,2.528655,1.065099
1.056609,2.528154,1.066600
1.059091,2.527654,1.068096
1.061574,2.527155,1.069587
1.064058,2.526657,1.071073
1.066543,2.526160,1.072554
1.069029,2.525664,1.074030
1.071515,2.525170,1.075501
1.074003,2.524676,1.076967
1.076491,2.524184,1.078428
1.078981,2.523692,1.079884
1.081471,2.523202,1.081335
1.083962,2.522713,1.082781
1.086454,2.522225,1.084222
1.088947,2.521738,1.085657
1.091441,2.521252,1.087088
1.093936,2.520768,1.088513
1.096432,2.520285,1.089934
1.098929,2.519802,1.091349
1.101426,2.519322,1.092759
1.103924,2.518842,1.094164
1.106424,2.518364,1.095564
1.108924,2.517886,1.096959
1.111425,2.517410,1.098349
1.113927,2.516936,1.099733
1.116430,2.516462,1.101113
1.118934,2.515990,1.102487
1.121438,2.515520,1.103856
1.123944,2.515050,1.105220
1.126450,2.514582,1.106578
1.128957,2.514115,1.107932
1.131466,2.513650,1.109280
1.133975,2.513185,1.110624
1.136484,2.512723,1.111961
1.138995,2.512261,1.113294
1.141507,2.511801,1.114622
1.144019,2.511343,1.115944
1.146533,2.510885,1.117261
1.149047,2.510429,1.118573
1.151562,2.509975,1.119880
1.154078,2.509522,1.121181
1.156595,2.509071,1.122477
1.159112,2.508620,1.123768
1.161631,2.508172,1.125054
1.164150,2.507725,1.126334
1.166670,2.507279,1.127609
1.169191,2.506835,1.128879
1.171713,2.506392,1.130143
1.174236,2.505951,1.131403
1.176759,2.505511,1.132656
1.179283,2.505073,1.133905
1.181809,2.504636,1.135148
1.184335,2.504201,1.136386
1.186862,2.503768,1.137619
1.189389,2.503336,1.138846
1.191918,2.502906,1.140068
1.194447,2.502477,1.141285
1.196977,2.502050,1.142496
1.199508,2.501624,1.143702
1.202040,2.501200,1.144903
1.204572,2.500778,1.146098
1.207106,2.500357,1.147288
1.209640,2.499939,1.148473
1.212175,2.499521,1.149652
1.214711,2.499105,1.150826
1.217247,2.498692,1.151994
1.219785,2.498279,1.153157
1.222323,2.497869,1.154315
1.224862,2.497460,1.155467
1.227401,2.497053,1.156614
1.229942,2.496647,1.157755
1.232483,2.496243,1.158891
1.235025,2.495841,1.160022
1.237568,2.495441,1.161147
1.240112,2.495043,1.162266
1.242656,2.494646,1.163381
1.245201,2.494251,1.164489
1.247747,2.493858,1.165593
1.250294,2.493467,1.166691
1.252841,2.493077,1.167783
1.255389,2.492689,1.168870
1.257938,2.492303,1.169951
1.260488,2.491919,1.171027
1.263038,2.491537,1.172098
1.265589,2.491157,1.173163
1.268141,2.490778,1.174223
1.270694,2.490402,1.175277
1.273247,2.490027,1.176325
1.275801,2.489654,1.177368
1.278356,2.489283,1.178406
1.280912,2.488914,1.179438
1.283468,2.488547,1.180464
1.286025,2.488182,1.181485
1.288582,2.487819,1.182501
1.291141,2.487457,1.183511
1.293700,2.487098,1.184515
1.296260,2.486740,1.185514
1.298820,2.486385,1.186507
1.301381,2.486031,1.187495
1.303943,2.485680,1.188477
1.306506,2.485330,1.189454
1.309069,2.484983,1.190425
1.311633,2.484637,1.191390
1.314197,2.484294,1.192350
1.316763,2.483953,1.193305
1.319329,2.483613,1.194253
1.321895,2.483276,1.195197
1.324463,2.482940,1.196134
1.327030,2.482607,1.197066
1.329599,2.482276,1.197992
1.332168,2.481947,1.198913
1.334738,2.481620,1.199828
1.337309,2.481295,1.200738
1.339880,2.480972,1.201642
1.342452,2.480651,1.202540
1.345024,2.480333,1.203433
1.347597,2.480016,1.204320
1.350171,2.479702,1.205202
1.352745,2.479389,1.206077
1.355320,2.479079,1.206947
1.357896,2.478771,1.207812
1.360472,2.478466,1.208671
1.363049,2.478162,1.209524
1.365626,2.477860,1.210372
1.368204,2.477561,1.211214
1.370783,2.477264,1.212050
1.373362,2.476969,1.212880
1.375941,2.476677,1.213705
1.378522,2.476386,1.214525
1.381103,2.476098,1.215338
1.383684,2.475812,1.216146
1.386266,2.475528,1.216948
1.388849,2.475246,1.217745
1.391432,2.474967,1.218535
1.394016,2.474690,1.219321
1.396600,2.474415,1.220100
1.399185,2.474143,1.220874
1.401770,2.473873,1.221642
1.404356,2.473605,1.222404
1.406943,2.473339,1.223161
1.409530,2.473076,1.223911
1.412117,2.472815,1.224657
1.414705,2.472556,1.225396
1.417294,2.472299,1.226130
1.419883,2.472045,1.226858
1.422473,2.471794,1.227580
1.425063,2.471544,1.228296
1.427653,2.471297,1.229007
1.430244,2.471052,1.229712
1.432836,2.470810,1.230411
1.435428,2.470570,1.231105
