t,sum_log_stretch
1918.844366,79.497475
1922.601552,79.790229
1926.372199,80.107495
1930.153126,80.355219
1933.941639,80.567664
1937.735560,80.722355
1941.533361,80.795029
1945.334029,81.090715
1949.136541,81.422808
1952.939507,81.790165
1956.741265,82.123954
1960.540040,82.467757
1964.334034,82.701553
1968.121600,82.787355
1971.901134,83.150171
1975.670593,83.500582
1979.427161,83.871946
1983.167293,84.218372
1986.886761,84.600119
1990.580665,84.932687
1994.243585,85.031670
1997.869752,85.333028
2001.453128,85.654659
2004.987601,85.946736
2008.467297,86.212654
2011.886890,86.482597
2015.241891,86.848133
2018.528971,87.202419
2021.746224,87.409179
2024.893262,87.537010
2027.971138,87.737993
2030.982128,87.948278
2033.929439,88.103501
2036.816897,88.216360
2039.648669,88.290241
2042.429038,88.303616
2045.162231,88.219085
2047.852306,87.953322
2050.503082,86.801597
2053.118096,87.702911
2055.700593,87.707452
2058.253525,87.675937
2060.779567,88.552027
2063.281131,88.978267
2065.760391,89.269768
2068.219303,89.489261
2070.659628,89.662768
2073.082952,89.804546
2075.490704,89.923710
2077.884176,90.026626
2080.264537,90.117934
2082.632846,90.201008
2084.990067,90.278215
2087.337078,90.351089
2089.674680,90.420509
2092.003609,90.486886
2094.324539,90.550342
2096.638091,90.610855
2098.944840,90.668373
2101.245319,90.722875
2103.540021,90.774395
2105.829409,90.823034
2108.113912,90.868940
2110.393936,90.912301
2112.669861,90.953325
2114.942046,90.992225
2117.210834,91.029209
2119.476547,91.064476
2121.739495,91.098207
2123.999974,91.130568
2126.258269,91.161710
2128.514655,91.191775
2130.769398,91.220894
2133.022756,91.249199
2135.274984,91.276821
2137.526328,91.303901
2139.777033,91.330586
2142.027340,91.357038
2144.277490,91.383431
2146.527722,91.409950
2148.778274,91.436796
2151.029388,91.464174
2153.281306,91.492292
2155.534277,91.521354
2157.788550,91.551550
2160.044382,91.583049
2162.302038,91.615989
2164.561790,91.650467
2166.823918,91.686533
2169.088715,91.724189
2171.356486,91.763381
2173.627550,91.804007
2175.902243,91.845921
2178.180917,91.888936
2180.463946,91.932842
2182.751727,91.977410
2185.044682,92.022403
2187.343263,92.067590
2189.647952,92.112748
2191.959269,92.157667
2194.277775,92.202156
2196.604076,92.246041
2198.938829,92.289169
2201.282748,92.331412
2203.636614,92.372685
2206.001279,92.412964
2208.377679,92.452328
2210.766842,92.490975
2213.169900,92.529220
2215.588107,92.567426
2218.022846,92.605884
2220.475654,92.644724
2222.948236,92.683980
2225.442485,92.723828
2227.960506,92.764814
2230.504639,92.808015
2233.077474,92.855324
2235.681879,92.909307
2238.321007,92.971335
2240.998304,93.039804
2243.717495,93.112359
2246.482557,93.189997
2249.297648,93.277392
2252.167008,93.376745
2255.094811,93.479645
2258.084962,93.568264
2261.140862,93.626675
2264.265138,93.653392
2267.459372,93.669449
2270.723860,93.708204
2274.057424,93.771735
2277.457350,93.874894
2280.919483,94.073963
2284.438492,94.338814
2288.008263,94.634253
2291.622389,94.914014
2295.274619,95.106658
2298.959112,95.209135
2302.670587,95.205535
2306.404473,95.321108
2310.156880,95.516248
2313.924334,95.828007
2317.703638,96.141957
2321.491987,96.385056
2325.287046,96.609056
2329.087016,96.739411
2332.890776,96.847464
2336.697688,97.162468
2340.507032,97.509214
2344.317730,97.877923
2348.128506,98.212599
2351.938074,98.564925
2355.745286,98.746116
2359.549348,98.878193
2363.349627,99.252596
2367.145102,99.617277
2370.934066,99.996271
2374.714239,100.352342
2378.482859,100.746584
2382.236735,100.999803
2385.972379,101.107701
2389.685929,101.478687
2393.372884,101.812015
2397.028030,102.150760
2400.645580,102.469018
2404.219331,102.842513
2407.742889,103.227392
2411.210099,103.419188
2414.615533,103.577775
2417.954909,103.872322
2421.225371,104.105711
2424.425603,104.292023
2427.555782,104.429432
2430.617393,104.500952
2433.612992,104.589540
2436.545928,104.833066
2439.420079,105.168991
2442.239603,105.464284
2445.008743,105.681919
2447.731669,105.834811
2450.412373,105.950506
2453.054605,106.056500
2455.661833,106.167282
2458.237236,106.280661
2460.783703,106.387705
2463.303849,106.482304
2465.800034,106.562933
2468.274381,106.630672
2470.728801,106.687224
2473.165014,106.733861
2475.584570,106.771084
2477.988866,106.798683
2480.379164,106.815918
2482.756607,106.821671
2485.122231,106.814495
2487.476980,106.792560
2489.821713,106.753470
2492.157215,106.693934
2494.484208,106.609176
2496.803351,106.491864
2499.115257,106.329956
2501.420488,106.102032
2503.719567,105.766795
2506.012982,105.258793
2508.301186,104.965701
2510.584602,105.582849
2512.863631,106.117922
2515.138647,106.504166
2517.410006,106.802690
2519.678044,107.045999
2521.943081,107.251524
2524.205424,107.429483
2526.465366,107.586338
2528.723189,107.726429
2530.979166,107.852815
2533.233561,107.967736
2535.486632,108.072888
2537.738630,108.169587
2539.989802,108.258880
2542.240392,108.341616
2544.490641,108.418500
2546.740788,108.490122
2548.991073,108.556993
2551.241735,108.619556
2553.493015,108.678210
2555.745157,108.733318
2557.998409,108.785220
2560.253024,108.834237
2562.509260,108.880682
2564.767382,108.924861
2567.027664,108.967074
2569.290391,109.007616
2571.555857,109.046773
2573.824371,109.084813
2576.096254,109.121988
2578.371848,109.158519
2580.651509,109.194594
2582.935616,109.230361
2585.224571,109.265927
2587.518805,109.301355
2589.818774,109.336672
2592.124970,109.371879
2594.437923,109.406966
2596.758202,109.441932
2599.086426,109.476810
2601.423264,109.511677
2603.769446,109.546664
2606.125767,109.581938
2608.493098,109.617676
2610.872396,109.654032
2613.264711,109.691113
2615.671203,109.728971
2618.093152,109.767621
2620.531975,109.807068
2622.989245,109.847332
2625.466706,109.888459
2627.966297,109.930467
2630.490173,109.973218
2633.040725,110.016204
2635.620603,110.058304
2638.232738,110.097661
2640.880346,110.131908
2643.566942,110.158982
2646.296319,110.178571
2649.072516,110.193856
2651.899750,110.212741
2654.782303,110.245748
2657.724360,110.294243
2660.729790,110.347788
2663.801867,110.418374
2666.942966,110.542106
2670.154262,110.711891
2673.435498,110.908980
2676.784893,111.139520
2680.199220,111.369053
2683.674059,111.530937
2687.204125,111.599114
2690.783580,111.601354
2694.406323,111.637580
2698.066311,111.745717
2701.757770,111.960818
2705.475272,112.274391
2709.213870,112.559556
2712.969264,112.779828
2716.737837,112.957135
2720.516678,113.025679
2724.303658,113.163162
2728.097172,113.442847
2731.895643,113.782899
2735.697314,114.129313
2739.500412,114.432518
2743.303261,114.744215
2747.104405,114.869327
2750.902767,115.044842
2754.697375,115.402944
2758.486817,115.768706
2762.269020,116.138130
2766.041368,116.486986
2769.800752,116.871861
2773.543619,117.078754
2777.266094,117.219152
2780.963884,117.587722
2784.632062,117.914987
2788.265069,118.244355
2791.856896,118.555487
2795.401263,118.930341
2798.891901,119.303614
2802.323012,119.486335
2805.689748,119.647209
2808.988583,119.931653
2812.217519,120.156449
2815.376110,120.331901
2818.465338,120.459718
2821.487370,120.514978
